dati_x dati_y colonna_inutile
-4.359002 0.006000 0.123456
-4.280179 0.011000 0.123456
-4.143426 -0.005000 0.123456
-3.965837 0.021000 0.123456
-3.750261 0.007000 0.123456
-3.497648 -0.001000 0.123456
-3.264978 0.010000 0.123456
-3.020912 -0.005000 0.123456
-2.809134 0.004000 0.123456
-2.619200 0.000000 0.123456
-2.453007 0.011000 0.123456
-2.303908 -0.003000 0.123456
-2.167155 -0.005000 0.123456
-1.989566 -0.011000 0.123456
-1.761644 0.003000 0.123456
-1.562213 -0.002000 0.123456
-1.383674 0.000000 0.123456
-1.218431 -0.004000 0.123456
-1.006654 0.005000 0.123456
-0.783481 0.016000 0.123456
-0.567905 0.066000 0.123456
-0.373222 0.144000 0.123456
-0.194683 0.237000 0.123456
0.000000 0.253000 0.123456
0.231720 0.194000 0.123456
0.438749 0.116000 0.123456
0.650526 0.077000 0.123456
0.841411 0.038000 0.123456
0.952523 0.025000 0.123456
1.023748 0.016000 0.123456
1.097823 0.000000 0.123456
1.185193 -0.008000 0.123456
1.346637 -0.005000 0.123456
1.607797 -0.014000 0.123456
1.918341 0.010000 0.123456
2.150061 0.005000 0.123456
2.295361 -0.012000 0.123456
2.398875 0.001000 0.123456
2.531830 0.010000 0.123456
2.693274 -0.011000 0.123456
2.891756 -0.002000 0.123456
3.103533 -0.015000 0.123456
3.352348 0.000000 0.123456
3.646746 -0.006000 0.123456
3.961088 -0.008000 0.123456
4.234594 -0.012000 0.123456
4.458717 -0.005000 0.123456
4.620162 -0.002000 0.123456
4.765462 0.012000 0.123456
4.943051 0.000000 0.123456
5.150080 0.000000 0.123456
5.403643 0.000000 0.123456
5.705639 0.003000 0.123456
6.037075 -0.007000 0.123456
6.385605 -0.004000 0.123456
6.766424 0.005000 0.123456
7.206123 0.004000 0.123456
7.665765 0.006000 0.123456
8.084571 0.003000 0.123456
8.416007 0.006000 0.123456
8.772135 -0.001000 0.123456
9.166249 0.007000 0.123456
9.510031 0.010000 0.123456
9.820574 -0.011000 0.123456
10.160557 -0.010000 0.123456
10.441661 0.004000 0.123456
10.669582 0.008000 0.123456
10.935491 -0.012000 0.123456
11.163413 0.007000 0.123456
11.361894 -0.009000 0.123456
11.593615 -0.003000 0.123456
11.847178 -0.006000 0.123456
12.103590 -0.011000 0.123456
12.327712 -0.005000 0.123456
12.576527 0.001000 0.123456
12.945000 -0.001000 0.123456
13.367605 0.004000 0.123456
13.885177 0.000000 0.123456
14.511012 -0.005000 0.123456
15.166287 -0.003000 0.123456
15.787373 0.001000 0.123456
16.218525 -0.010000 0.123456
16.483484 -0.004000 0.123456
16.756990 -0.003000 0.123456
17.096973 -0.006000 0.123456
17.432208 0.000000 0.123456
17.743701 -0.009000 0.123456
18.045697 -0.004000 0.123456
18.360989 -0.002000 0.123456
18.634495 0.000000 0.123456
18.878561 0.009000 0.123456
19.148268 0.010000 0.123456
19.488251 0.005000 0.123456
19.839630 -0.005000 0.123456
20.126432 0.001000 0.123456
20.353404 0.001000 0.123456
20.528144 0.003000 0.123456
20.698135 0.003000 0.123456
20.880473 0.004000 0.123456
21.078954 0.008000 0.123456
21.323970 0.018000 0.123456
21.576583 0.000000 0.123456
21.850089 -0.003000 0.123456
22.222361 0.004000 0.123456
22.625023 0.004000 0.123456
23.134048 -0.003000 0.123456
23.719047 -0.002000 0.123456
24.278405 -0.001000 0.123456
24.783631 0.004000 0.123456
25.363881 -0.005000 0.123456
26.051445 0.004000 0.123456
26.751355 -0.002000 0.123456
27.402831 -0.005000 0.123456
28.032464 -0.011000 0.123456
28.579476 -0.003000 0.123456
29.072357 -0.004000 0.123456
29.589929 0.010000 0.123456
30.194871 -0.001000 0.123456
30.820706 0.013000 0.123456
31.446541 0.001000 0.123456
32.093268 0.001000 0.123456
32.685865 -0.009000 0.123456
33.191091 -0.003000 0.123456
33.605149 -0.001000 0.123456
33.953679 -0.015000 0.123456
34.272769 0.002000 0.123456
34.641242 -0.001000 0.123456
35.151217 -0.016000 0.123456
35.740015 0.019000 0.123456
36.306970 0.007000 0.123456
36.796052 0.001000 0.123456
37.057212 -0.001000 0.123456
37.156928 -0.007000 0.123456
37.297479 0.002000 0.123456
37.562438 0.006000 0.123456
37.907170 0.004000 0.123456
38.329775 0.001000 0.123456
38.772322 -0.021000 0.123456
39.145544 0.003000 0.123456
39.439943 -0.002000 0.123456
39.755235 0.002000 0.123456
39.941371 -0.007000 0.123456
40.023992 0.001000 0.123456
40.115161 -0.005000 0.123456
40.306045 0.004000 0.123456
40.604243 0.007000 0.123456
40.948025 0.003000 0.123456
41.300353 0.005000 0.123456
41.735304 -0.005000 0.123456
42.215839 0.011000 0.123456
42.684028 0.000000 0.123456
43.152217 0.000000 0.123456
43.628953 -0.002000 0.123456
44.093343 0.010000 0.123456
44.598570 -0.003000 0.123456
45.324120 -0.009000 0.123456
46.235807 -0.004000 0.123456
47.014539 0.000000 0.123456
47.503621 0.003000 0.123456
47.798020 0.004000 0.123456
48.145600 -0.003000 0.123456
48.622337 -0.003000 0.123456
49.099073 -0.002000 0.123456
49.504583 -0.005000 0.123456
49.898698 0.001000 0.123456
50.296611 -0.006000 0.123456
50.624248 0.000000 0.123456
50.814183 0.000000 0.123456
50.917698 -0.001000 0.123456
51.120928 -0.005000 0.123456
51.552080 0.008000 0.123456
52.132330 0.006000 0.123456
52.633758 -0.005000 0.123456
53.093400 -0.008000 0.123456
53.470420 -0.016000 0.123456
53.743926 -0.005000 0.123456
54.008885 -0.011000 0.123456
54.303284 0.000000 0.123456
54.606230 0.014000 0.123456
54.874987 0.074000 0.123456
55.095312 0.153000 0.123456
55.318485 0.298000 0.123456
55.492275 0.460000 0.123456
55.642324 0.619000 0.123456
55.824661 0.787000 0.123456
56.039287 0.922000 0.123456
56.267209 1.001000 0.123456
56.545463 0.997000 0.123456
56.835114 0.900000 0.123456
57.113368 0.752000 0.123456
57.353635 0.602000 0.123456
57.573010 0.482000 0.123456
57.780039 0.368000 0.123456
58.007960 0.282000 0.123456
58.260574 0.219000 0.123456
58.538828 0.160000 0.123456
58.898754 0.120000 0.123456
59.292869 0.087000 0.123456
59.648996 0.039000 0.123456
59.926301 0.025000 0.123456
60.120984 0.030000 0.123456
60.287177 0.002000 0.123456
60.473313 0.002000 0.123456
60.697436 -0.004000 0.123456
60.937703 0.003000 0.123456
61.161826 0.000000 0.123456
61.397345 -0.010000 0.123456
61.584431 -0.002000 0.123456
61.733530 0.004000 0.123456
61.882628 -0.002000 0.123456
62.072563 -0.009000 0.123456
62.280542 0.001000 0.123456
62.491369 -0.008000 0.123456
62.756328 -0.010000 0.123456
63.108657 -0.005000 0.123456
63.485677 -0.010000 0.123456
63.804768 -0.007000 0.123456
64.028891 -0.007000 0.123456
64.194134 -0.006000 0.123456
64.372673 -0.002000 0.123456
64.567356 -0.005000 0.123456
64.803824 -0.009000 0.123456
65.044092 -0.012000 0.123456
65.408766 0.001000 0.123456
65.868408 -0.001000 0.123456
66.291013 -0.006000 0.123456
66.713618 0.005000 0.123456
67.062148 0.000000 0.123456
67.356547 -0.002000 0.123456
67.513243 -0.004000 0.123456
67.592066 0.007000 0.123456
67.625305 0.008000 0.123456
67.630053 -0.001000 0.123456
67.654744 -0.005000 0.123456
67.716473 -0.002000 0.123456
67.819988 -0.004000 0.123456
67.907358 0.004000 0.123456
67.956741 -0.001000 0.123456
67.952942 0.003000 0.123456
67.952942 -0.008000 0.123456
67.961489 0.003000 0.123456
68.040312 -0.005000 0.123456
68.230247 0.012000 0.123456
68.516098 -0.004000 0.123456
68.868427 -0.004000 0.123456
69.088751 0.002000 0.123456
69.092550 0.000000 0.123456
69.088751 0.002000 0.123456
69.084003 -0.006000 0.123456
69.084003 -0.001000 0.123456
69.080204 0.005000 0.123456
69.080204 0.011000 0.123456
69.075456 0.010000 0.123456
69.075456 0.000000 0.123456
69.075456 0.007000 0.123456
69.075456 0.004000 0.123456
69.075456 0.004000 0.123456
69.075456 0.008000 0.123456
69.075456 0.003000 0.123456
69.071657 0.024000 0.123456
69.071657 0.005000 0.123456
69.071657 0.019000 0.123456
69.071657 0.009000 0.123456
69.071657 -0.001000 0.123456
69.071657 0.004000 0.123456
69.071657 0.004000 0.123456
69.071657 0.005000 0.123456
69.071657 0.022000 0.123456
69.071657 0.015000 0.123456
69.071657 0.017000 0.123456
