T,V,err_V
0,0.4298,0.01564716
-20,0.3861,0.00164873
-30,0.3358,0.01714985
-40,0.2728,0.01278456
-50,0.2007,0.00834631
-60,0.1326,0.01254862
-70,0.0757,0.00467566
-80,0.0360,0.01212004
-90,0.0203,0.01289999
20,0.3810,0.01700452
30,0.3256,0.00982982
40,0.2605,0.00805386
50,0.1902,0.01446089
60,0.1205,0.01318276
70,0.0659,0.01417149
80,0.0312,0.01358611
90,0.0224,0.0128347 
5,0.4230,0.00812282
-5,0.4215,0.01549787
10,0.4133,0.01688069
-10,0.4160,0.00013527
-15,0.4010,0.00740559
15,0.3974,0.00544608
2.5,0.4225,0.02446723
-2.5,0.4257,0.00479419
7.5,0.412,0.0107979
-7.5,0.4172,0.00899276
